"","Total.Acquisition.Cost.and.Quantity...Total.Program","X.","X..1","X..2","X..3","X..4","X..5","X..6"
"34","Quantity","SAR Baseline Dev Est","Current APB Development","Current Estimate",NA,NA,NA,NA
"35","RDT&E","0","0","0",NA,NA,NA,NA
"36","Procurement","48","48","0",NA,NA,NA,NA
"37","Total","48","48","0",NA,NA,NA,NA
