"","Cost.Summary","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6"
"61",NA,"SAR Baseline","Current APB Development","Current Estimate",NA,NA,NA,NA
"62","Quantity","Dev Est",NA,NA,NA,NA,NA,NA
"63","RDT&E ","0","0","0",NA,NA,NA,NA
"64","Procurement ","1528","1528","1528",NA,NA,NA,NA
"65","Total","1528","1528","1528",NA,NA,NA,NA
