"","Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8"
"43","Total Acquisition Cost and Quantity - MISSILE",NA,NA,NA,NA,NA,NA,NA
"44",NA,"BY 2004 $M",NA,NA,"BY2004","TY $M",NA,NA
"45",NA,NA,NA,NA,"$M",NA,NA,NA
"46","Appropriation","SAR Baseline Dev Est","Current APB Development Objective/Threshold",NA,"Current Estimate",NA,NA,NA
"47",NA,NA,NA,NA,NA,"SAR Baseline Dev Est","Current APB Development Objective","Current Estimate"
"48","RDT&E ","460.9","460.9","530","703.9","482","482","788.2"
"49","Procurement","5760","5760","6336","6165.7","7574","7574","8986.9"
"50","Flyaway","5252.9","--","--","5662.5","6914.8","--","8257.9"
"51","Recurring","5252.9","--","--","5590.5","6914.8","--","8170"
"52","Non Recurring","0","-- ","-- ","72","0","-- ","87.9"
"53","Support","507.1","--","--","503.2","659.2","--","729"
"54","Other Support","507.1","--","--","503.2","659.2","--","729"
"55","Initial Spares   ","0","-- ","-- ","0","0","-- ","0"
"56","MILCON","0","0","--","0","0","0","0"
"57","Acq O&M ","0","0","--","0","0","0","0"
"58","Total","6220.9","6220.9","N/A","6869.6","8056","8056","9775.1"
