"","Cost.and.Funding","X.","X..1","X..2","X..3","X..4","X..5","X..6","X..7","X..8"
"136","Annual Funding BY$, Missile Procurement, MISSILE, Army  ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Fiscal Year","Quantity","End Item Recurring Flyaway BY 2004 $M","Non End Item Recurring Flyaway BY 2004 $M","Non Recurring Flyaway BY 2004 $M","Total Flyaway BY 2004 $M","Total Support BY 2004 $M","Total Program BY 2004 $M",NA,NA
"138","2012","--","--","--","61.6","61.6","--","61.6",NA,NA
"139","2013","--","--","--","10.4","10.4","--","10.4",NA,NA
"140","2014","56","371.3","--","--","371.3","53.6","424.9",NA,NA
"141","2015","72","352.3","--","--","352.3","39.1","391.4",NA,NA
"142","2016","80","410.4","--","--","410.4","43.6","454",NA,NA
"143","2017","82","383.1","--","--","383.1","40.7","423.8",NA,NA
"144","2018","90","341.6","--","--","341.6","25.7","367.3",NA,NA
"145","2019","90","329.5","--","--","329.5","24.9","354.4",NA,NA
"146","2020","90","323.4","--","--","323.4","24.3","347.7",NA,NA
"147","2021","90","315.8","--","--","315.8","24.9","340.7",NA,NA
"148","2022","90","309.5","--","--","309.5","24.4","333.9",NA,NA
"149","2023","90","303.1","--","--","303.1","23.9","327",NA,NA
"150","2024","90","296.8","--","--","296.8","23.4","320.2",NA,NA
"151","2025","90","290.6","--","--","290.6","22.9","313.5",NA,NA
"152","2026","90","284.5","--","--","284.5","22.5","307",NA,NA
"153","2027","90","279.5","--","--","279.5","21","300.5",NA,NA
"154","2028","90","273.8","--","--","273.8","20.6","294.4",NA,NA
"155","2029","90","268.2","--","--","268.2","20.2","288.4",NA,NA
"156","2030","90","262.7","--","--","262.7","19.7","282.4",NA,NA
"157","2031","68","194.4","--","--","194.4","14.7","209.1",NA,NA
"158","2032","--","--","--","--","--","6.6","6.6",NA,NA
"159","2033","--","--","--","--","--","6.5","6.5",NA,NA
"160","Subtotal","1528","5590.5","--","72","5662.5","503.2","6265.7",NA,NA
