"","Total.Acquisition.Cost.and.Quantity...Total.Program","X.","X..1","X..2","X..3","X..4","X..5","X..6"
"56","Quantity","SAR Baseline Dev Est","Current APB Development","Current Estimate",NA,NA,NA,NA
"57","RDT&E","0","0","0",NA,NA,NA,NA
"58","Procurement","1528","1528","1528",NA,NA,NA,NA
"59","Total","1528","1528","1528",NA,NA,NA,NA
