"Category","ProcurementCostOutturnGBPmil","Platform","Source"
"Current Forecast Cost","2619","A400M","2004"
"Approved Cost at Main Gate","2744","A400M","2004"
"Variation","-125","A400M","2004"
"In-year changes to 2003/2004","258","A400M","2004"
