"PlannedActualBoundariesForIntroductionOfTheCapability","BudgetedForPostMainInvestmentDecisionProjectsOnly","LatestForecastApproved","Platform"
"2009",NA,NA,"A400M"
"A400M","2009-02-01","2009-12-01","A400M"
