"Category","ProcurementCostOutturnGBPmil","Platform","Source"
"Current Forecast Cost","2629","A400M","2007"
"Approved Cost at Main Gate","2744","A400M","2007"
"Variation","-115","A400M","2007"
"In-year changes","13","A400M","2007"
