"Category","ProcurementCostOutturnGBPmil","Platform","Source","Account"
"Current Forecast Cost","2484","A400M","2003","Procurement"
"Approved Cost at Main Gate","2828","A400M","2003","Procurement"
"Variation","-344","A400M","2003","Procurement"
"In-year changes in 2002/2003","128","A400M","2003","Procurement"
