"Category","ProcurementCostOutturnGBPmil","Platform","Source"
"Current Forecast Cost","2616","A400M","2006"
"Approved Cost at Main Gate","2744","A400M","2006"
"Variation","-128","A400M","2006"
"In-year changes","-28","A400M","2006"
