"ProjectIncrementName","ApprovedCostGBPmil","ActualOrForecastCostGBPmil","VariationGBPmil","ApprovedCostAsAProportionOfTotalEstimatedProcurementExpenditure","ActualCostAsAProportionOfTotalEstimatedProcurementExpenditure","Platform","Source"
"A400M ","2","1","-1","0","0","A400M","2013"
"Training Service","1","1","0","0","0","A400M","2013"
"Total (£m)","3","2","-1","0","0","A400M","2013"
