"ProjectIncrementName","BudgetedForCostGBPmil","ForecastCostGBPmil","VariationGBPmil","InYearVariationGBPmil","Platform","Source"
"A400M","2498","3268","770","163","A400M","2012"
"Total (£m)","2498","3269","770","163","A400M","2012"
