"Description","ForecastOrActualDateOfMainGateApproval","DateOfInitialGateApproval","LengthOfAssessmentPhase","Platform"
"2015",NA,NA,NA,"A400M"
"A400m","1997-07-01","2000-05-01","34","A400M"
