"PerformanceAgainstApprovedInServiceDate","Date","Platform","Source"
"Current forcase ISD","2011-03-01","A400M","2004"
"Approved ISD at Main Gate","2009-12-01","A400M","2004"
"Variation (months)","15","A400M","2004"
"In-year changes in 2003/2004","0","A400M","2004"
