"PerformanceAgainstApprovedInServiceDate","Date","Platform"
"2006",NA,"A400M"
"Current forcase ISD","2011-03-01","A400M"
"Approved ISD at Main Gate","2009-12-01","A400M"
"Variation (months)","15","A400M"
"In-year changes in 2004/2005","0","A400M"
