"Category","ProcurementCostOutturnGBPmil","Platform","Source"
"Current Forecast Cost","2632","A400M","2008"
"Approved Cost at Main Gate","2744","A400M","2008"
"Variation","-112","A400M","2008"
"In-year changes","3","A400M","2008"
