"PerformanceAgainstApprovedInServiceDate","Date","Platform","Source"
"Current forcase ISD","2010-06-01","A400M","2002"
"Approved ISD at Main Gate","2009-12-01","A400M","2002"
"Variation (months)","6","A400M","2002"
"In-year changes in 2001/2002","16","A400M","2002"
