"Col1","Col2","Col3","Col4","Platform"
"ISD boundaries at Initial Gate and Main Gate Approvals",NA,NA,NA,"A400M"
NA,"Earliest","Budgeted For","Latest Acceptable","A400M"
"Forecast ISD at Main Gate ","-","2009-02-01 00:00:00","2009-12-01 00:00:00","A400M"
"Envelope within which capability was expected to be available at Initial Gate","-","2007-12-01 00:00:00","-","A400M"
