"PerformanceAgainstApprovedInServiceDate","Date","Platform","Source"
"Current forcase ISD","2011-12-01","A400M","2008"
"Approved ISD at Main Gate","2009-12-01","A400M","2008"
"Variation (months)","24","A400M","2008"
"In-year changes in 2004/2005","9","A400M","2008"
