"ProjectIncrementName","ApprovedCostGBPmil","ActualOrForecastCostGBPmil","VariationGBPmil","ApprovedCostAsAProportionOfTotalEstimatedProcurementExpenditure","ActualCostAsAProportionOfTotalEstimatedProcurementExpenditure","Platform","Source"
"A400M","2","1","-1","0.06","0.03","A400M","2010"
"Total","2","1","-1","0.06","0.03","A400M","2010"
