"Description","ForecastOrActualDateOfMainGateApproval","DateOfInitialGateApproval","LengthOfAssessmentPhase","Platform","Source"
"2012",NA,NA,NA,"A400M","2011"
"A400m","1997-07-01","2000-05-01","34","A400M","2011"
