"ProjectIncrementName","CostOfTheAssessmentPhaseOutturnPricesGBPpound","Platform","Source"
"Forecast Cost","1.4","A400M","2000"
"Approved Cost at Initial Gate","2","A400M","2000"
"Variation","-0.6","A400M","2000"
