"Description","ForecastOrActualDateOfMainGateApproval","DateOfInitialGateApproval","LengthOfAssessmentPhase","Unit","Platform"
"2010",NA,NA,NA,"Months","A400M"
"A400m","2000-05-01","1997-07-01","35","Months","A400M"
