"Category","ProcurementCostOutturnGBPmil","Platform","Source"
"Current Forecast Cost","2644","A400M","2005"
"Approved Cost at Main Gate","2744","A400M","2005"
"Variation","-100","A400M","2005"
"In-year changes to 2004/2005","25","A400M","2005"
