"PerformanceAgainstApprovedInServiceDate","Date","Platform","Source"
"Current forcase ISD","2011-03-01","A400M","2003"
"Approved ISD at Main Gate","2009-12-01","A400M","2003"
"Variation (months)","15","A400M","2003"
"In-year changes in 2002/2003","9","A400M","2003"
