"Category","ProcurementCostOutturnGBPmil","Platform","Source","Account"
"Current Forecast Cost","2356","A400M","2002","Procurement"
"Approved Cost at Main Gate","2828","A400M","2002","Procurement"
"Variation","-472","A400M","2002","Procurement"
"In-year changes in 2001/2002","-226","A400M","2002","Procurement"
