"Col1","Col2","Col3","Col4","Col5","Platform"
"Progress against approved Dates",NA,NA,NA,NA,"A400M"
"Description","Approved Date","Actual / Forecast Date","Variation","In-Year Variation","A400M"
"A400M","2009-12-01","2015-12-01","72","48","A400M"
