"ProjectIncrementName","ApprovedCostGBPmil","ActualOrForecastCostGBPmil","VariationGBPmil","Platform","Source"
"A400M","2","1","-1","A400M","2015"
"Training Service","1","1","0","A400M","2015"
"In Service Support","1","1","0","A400M","2015"
"Total (£m)","4","3","-1","A400M","2015"
