"PerformanceAgainstApprovedInServiceDate","Date","Platform","Source"
"Current forcase ISD","2011-03-01","A400M","2005"
"Approved ISD at Main Gate","2009-12-01","A400M","2005"
"Variation (months)","15","A400M","2005"
"In-year changes in 2004/2005","0","A400M","2005"
