"CurrentChangeExplanations","BaseYearMil","ThenYearMil","Platform","Source","Account"
"Revised escalation indices. (Economic)","N/A","-4.7","JSF","2003-12","RDT&E"
"Economic adjustment for negative program change. (Economic)","N/A","0.1","JSF","2003-12","RDT&E"
"SDD schedule extension for additional design maturation and known and unknown risks (including anti-tamper) (Schedule)","6664.2","7495.4","JSF","2003-12","RDT&E"
"Adjustment for Current and Prior Inflation. (Estimating)","2.7","2.7","JSF","2003-12","RDT&E"
"Model Refinements to the cost estimating refinements (Estimating)","-2.2","-2.7","JSF","2003-12","RDT&E"
"RDT&E Subtotal","6664.7","7490.8","JSF","2003-12","RDT&E"
