"Col1","Col2","Col3","Col4","Col5","Platform"
"2012-12-01",NA,NA,NA,NA,"JSF"
"Milestones","SAR Baseline Dev Est","Current APB Development Objective/Threshold",NA,"Current Estimate","JSF"
"Concept Demonstration Contract Award","1996-11-01","1996-11-01","1997-05-01","1996-11-01","JSF"
"Milestone B","2011-11-01","2011-11-01","2012-05-01","2001-10-01","JSF"
"EMD Contract Award","2001-10-01","2001-10-01","2002-04-01","2001-10-01","JSF"
"Preliminary Design Review","2003-04-01","2003-04-01","2003-10-01","2003-04-01","JSF"
"Critical Design Review",NA,NA,NA,NA,"JSF"
"CDR (CTOL&Common)","2005-10-01","2005-10-01","2006-04-01","2006-02-01","JSF"
"CDR (STOVL&Common)","2006-05-01","2006-05-01","2006-11-01","2006-02-01","JSF"
"CDR (CV&Common)","2007-01-01","2007-01-01","2007-07-01","2007-06-01","JSF"
"DAE (IPR 1)","2006-01-01","2006-01-01","2006-07-01","2006-03-01","JSF"
"1st Flt CTOL","2006-07-01","2006-07-01","2007-01-01","2006-12-01","JSF"
"DAE (IPR 2)","2007-01-01","2007-01-01","2007-07-01","2007-04-01","JSF"
"1st Flt STOVL","2008-03-01","2008-03-01","2008-09-01","2008-06-01","JSF"
"1st Flt CV","2010-05-01","2010-05-01","2010-11-01","2010-06-01","JSF"
"1st Production Aircraft Delivered","2010-12-01","2010-12-01","2011-06-01","2011-05-01","JSF"
"Block 2B Fleet Release","2015-03-01","2015-03-01","2015-09-01","2015-06-01","JSF"
"Block 3F Fleet Release","2017-08-01","2017-08-01","2018-02-01","2017-08-01","JSF"
"Completed IOT&E","2019-02-01","2019-02-01","2019-08-01","2019-02-01","JSF"
"Full Rate Production Decision","2019-04-01","2019-04-01","2019-10-01","2019-04-01","JSF"
"DAB Milestone C","2019-04-01","2019-04-01","2019-10-01","2019-04-01","JSF"
"USMC IOC","TBD","TBD","TBD","TBD","JSF"
"USAF IOC","TBD","TBD","TBD","TBD","JSF"
"USN IOC","TBD","TBD","TBD","TBD","JSF"
