"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","44410.1","282647.8","4797.3","331855.2","Then Year $M","JSF","2015-12","Aircraft",NA
"Economic","24.6","2886.2","29.5","2940.3","Then Year $M","JSF","2015-12","Aircraft","Previous Changes"
"Quantity","--","--","--","--","Then Year $M","JSF","2015-12","Aircraft","Previous Changes"
"Schedule","--","3425.5","--","3425.5","Then Year $M","JSF","2015-12","Aircraft","Previous Changes"
"Engineering","--","--","--","--","Then Year $M","JSF","2015-12","Aircraft","Previous Changes"
"Estimating","-1507.9","-7348.4","-199.7","-9056","Then Year $M","JSF","2015-12","Aircraft","Previous Changes"
"Other","--","--","--","--","Then Year $M","JSF","2015-12","Aircraft","Previous Changes"
"Support","--","-5043.7","--","-5043.7","Then Year $M","JSF","2015-12","Aircraft","Previous Changes"
"Subtotal","-1483.3","-6080.4","-170.2","-7733.9","Then Year $M","JSF","2015-12","Aircraft","Previous Changes"
"Economic","-36.7","-1842.6","-25.2","-1904.5","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"Quantity","--","--","--","--","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"Schedule","--","487.2","--","487.2","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"Engineering","--","1826.8","--","1826.8","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"Estimating","280","-1873.1","191.4","-1401.7","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"Other","--","--","--","--","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"Support","--","-4738.2","--","-4738.2","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"Subtotal","243.3","-6139.9","166.2","-5730.4","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"Total Changes","-1240","-12220.3","-4","-13464.3","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"CE - Cost Variance","43170.1","270427.5","4793.3","318390.9","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
"CE - Cost & Funding ","43170.1","270427.5","4793.3","318390.9","Then Year $M","JSF","2015-12","Aircraft","Current Changes"
