"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","47982.1","224332.9","4168","276483","Base Year 2012 $M","JSF","2015-12","Aircraft",NA
"Economic","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Aircraft","Previous Changes"
"Quantity","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Aircraft","Previous Changes"
"Schedule","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Aircraft","Previous Changes"
"Engineering","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Aircraft","Previous Changes"
"Estimating","-1870","-5117.6","-238.6","-7226.2","Base Year 2012 $M","JSF","2015-12","Aircraft","Previous Changes"
"Other","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Aircraft","Previous Changes"
"Support","--","-4502.9","--","-4502.9","Base Year 2012 $M","JSF","2015-12","Aircraft","Previous Changes"
"Subtotal","-1870","-9620.5","-238.6","-11729.1","Base Year 2012 $M","JSF","2015-12","Aircraft","Previous Changes"
"Economic","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"Quantity","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"Schedule","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"Engineering","--","1346.4","--","1346.4","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"Estimating","256.5","-1349.7","172","-921.2","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"Other","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"Support","--","-3418.2","--","-3418.2","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"Subtotal","256.5","-3421.5","172","-2993","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"Total Changes","-1613.5","-13042","-66.6","-14722.1","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"CE - Cost Variance","46368.6","211290.9","4101.4","261760.9","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
"CE - Cost & Funding ","46368.6","211290.9","4101.4","261760.9","Base Year 2012 $M","JSF","2015-12","Aircraft","Current Changes"
