"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","History"
"SAR Baseline (Dev Est)","32300","143300","1500","177100","Base Year 2002 $M","JSF","2006-12",NA
"Economic","0","0","0","0","Base Year 2002 $M","JSF","2006-12","Previous Changes"
"Quantity","0","-16249.1","0","-16249.1","Base Year 2002 $M","JSF","2006-12","Previous Changes"
"Schedule","6779.4","1428.5","0","8207.9","Base Year 2002 $M","JSF","2006-12","Previous Changes"
"Engineering","2231","5820.5","227.3","8278.8","Base Year 2002 $M","JSF","2006-12","Previous Changes"
"Estimating","-922","18795.2","-1535.5","16337.7","Base Year 2002 $M","JSF","2006-12","Previous Changes"
"Other","0","0","0","0","Base Year 2002 $M","JSF","2006-12","Previous Changes"
"Support","0","8054.1","0","8054.1","Base Year 2002 $M","JSF","2006-12","Previous Changes"
"Subtotal","8088.4","17849.2","-1308.2","24629.4","Base Year 2002 $M","JSF","2006-12","Previous Changes"
"Economic","--","--","--","--","Base Year 2002 $M","JSF","2006-12","Current Changes"
"Quantity","--","--","--","--","Base Year 2002 $M","JSF","2006-12","Current Changes"
"Schedule","--","589.2","--","589.2","Base Year 2002 $M","JSF","2006-12","Current Changes"
"Engineering","583.6","824.3","--","1407.9","Base Year 2002 $M","JSF","2006-12","Current Changes"
"Estimating","-984.2","3253.9","241.2","2510.9","Base Year 2002 $M","JSF","2006-12","Current Changes"
"Other","--","--","--","--","Base Year 2002 $M","JSF","2006-12","Current Changes"
"Support","--","3164.2","--","3164.2","Base Year 2002 $M","JSF","2006-12","Current Changes"
"Subtotal","-400.6","7831.6","241.2","7672.2","Base Year 2002 $M","JSF","2006-12","Current Changes"
"Total Changes","7687.8","25680.8","-1067","32301.6","Base Year 2002 $M","JSF","2006-12","Current Changes"
"CE - Cost Variance","39987.8","168980.8","433","209401.6","Base Year 2002 $M","JSF","2006-12","Current Changes"
"CE - Cost & Funding ","39987.8","168980.8","433","209401.6","Base Year 2002 $M","JSF","2006-12","Current Changes"
