"BaselineItemEvent","PlanningEstimate","DevelopmentEstimate","ProductionEstimate","CurrentEstimate","Platform","Source","Section"
"Milestone A","N/A","N/A","N/A","N/A","JSF","2015-12","Engine"
"Milestone B","N/A","N/A","N/A","N/A","JSF","2015-12","Engine"
"Milestone C","N/A","N/A","N/A","N/A","JSF","2015-12","Engine"
"IOC","N/A","N/A","N/A","N/A","JSF","2015-12","Engine"
"Total Cost (TY $M)","N/A","63856.6","N/A","60651.1","JSF","2015-12","Engine"
"Total Quantity","N/A","2457","N/A","2457","JSF","2015-12","Engine"
"Prog. Acq. Unit Cost (PAUC) ","N/A","25.99","N/A","24.685","JSF","2015-12","Engine"
