"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","Section","History"
"SAR Baseline (Dev Est)","11695.2","42332.9","-- ","54028.1","Base Year 2012 $M","JSF","2015-12","Engine",NA
"Economic","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Previous Changes"
"Quantity","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Previous Changes"
"Schedule","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Previous Changes"
"Engineering","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Previous Changes"
"Estimating","1440.8","888.6","--","2329.4","Base Year 2012 $M","JSF","2015-12","Engine","Previous Changes"
"Other","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Previous Changes"
"Support","--","-766.3","--","-766.3","Base Year 2012 $M","JSF","2015-12","Engine","Previous Changes"
"Subtotal","1440.8","122.3","--","1563.1","Base Year 2012 $M","JSF","2015-12","Engine","Previous Changes"
"Economic","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"Quantity","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"Schedule","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"Engineering","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"Estimating","-13.4","-2670.3","--","-2683.7","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"Other","--","--","--","--","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"Support","--","-1408","--","-1408","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"Subtotal","-13.4","-4078.3","--","-4091.7","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"Total Changes","1427.4","-3956","--","-2528.6","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"CE - Cost Variance","13122.6","38376.9","--","51499.5","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
"CE - Cost & Funding ","13122.6","38376.9","--","51499.5","Base Year 2012 $M","JSF","2015-12","Engine","Current Changes"
