"Description","RDTnE","Proc","MILCON","Total","NA.4","Unit","Platform","Source","History"
"Planning Estimate","248001","--","--","24800",NA,"Then Year $M","JSF","1996-XX",NA
"Previous Changes","--","--","--","--",NA,"Then Year $M","JSF","1996-XX",NA
"Economic","--","--","--","--",NA,"Then Year $M","JSF","1996-XX",NA
"Quantity","--","--","--","--",NA,"Then Year $M","JSF","1996-XX",NA
"Schedule","--","--","--","--",NA,"Then Year $M","JSF","1996-XX",NA
"Engineering","--","--","--","--",NA,"Then Year $M","JSF","1996-XX",NA
"Estimating","--","--","--","--",NA,"Then Year $M","JSF","1996-XX",NA
"Other","--","--","--","--",NA,"Then Year $M","JSF","1996-XX",NA
"Support","--","--","--","--",NA,"Then Year $M","JSF","1996-XX",NA
"Subtotal","--","--","--","--",NA,"Then Year $M","JSF","1996-XX",NA
"Economic","-1230.4","--","--","-1230.4",NA,"Then Year $M","JSF","1996-XX","Current Changes"
"Quantity","--","--","--","--",NA,"Then Year $M","JSF","1996-XX","Current Changes"
"Schedule","--","--","--","--","--","Then Year $M","JSF","1996-XX","Current Changes"
"Engineering","--","--","--","--",NA,"Then Year $M","JSF","1996-XX","Current Changes"
"Estimating","-403.7","--",NA,"-403.7",NA,"Then Year $M","JSF","1996-XX","Current Changes"
"Other","--","--",NA,"--",NA,"Then Year $M","JSF","1996-XX","Current Changes"
"Support","--","--","--","--",NA,"Then Year $M","JSF","1996-XX","Current Changes"
"Subtotal","-1634.1","--","--","-1634.1",NA,"Then Year $M","JSF","1996-XX","Current Changes"
"Total Changes","-1634.1","--","--","-1634.1",NA,"Then Year $M","JSF","1996-XX","Current Changes"
"Current Estimates","23165.9","--","--","23165.9",NA,"Then Year $M","JSF","1996-XX","Current Changes"
