"Description","RDTnE","Proc","MILCON","Total","Subsection","Unit","Platform","Source","Section"
"SAR Baseline (Dev Est)","10823.7","53032.9","--","63856.6",NA,"Then Year $M","JSF","2013-12","Engine"
"Previous Changes",NA,NA,NA,NA,"Previous Changes","Then Year $M","JSF","2013-12","Engine"
"Economic","4204","1258.9","--","1301.3",NA,"Then Year $M","JSF","2013-12","Engine"
"Quantity","--","--","--","--",NA,"Then Year $M","JSF","2013-12","Engine"
"Schedule","--","271.3","--","271.3",NA,"Then Year $M","JSF","2013-12","Engine"
"Engineering","--","--","--","--",NA,"Then Year $M","JSF","2013-12","Engine"
"Estimating","956.1","1593.4","--","637.3",NA,"Then Year $M","JSF","2013-12","Engine"
"Other","--","--","--","--",NA,"Then Year $M","JSF","2013-12","Engine"
"Support","--","-493.2","--","-493.2",NA,"Then Year $M","JSF","2013-12","Engine"
"Subtotal","--","-493.2","--","-493.2",NA,"Then Year $M","JSF","2013-12","Engine"
"Current Changes",NA,NA,NA,NA,"Current Changes","Then Year $M","JSF","2013-12","Engine"
"Economic","-11.7","-79.8","--","-91.5",NA,"Then Year $M","JSF","2013-12","Engine"
"Quantity","--","--","--","--",NA,"Then Year $M","JSF","2013-12","Engine"
"Schedule","--","196.1","--","196.1",NA,"Then Year $M","JSF","2013-12","Engine"
"Engineering","--","--","--","--",NA,"Then Year $M","JSF","2013-12","Engine"
"Estimating","314.5","3606.9","--","3921.4",NA,"Then Year $M","JSF","2013-12","Engine"
"Other","--","--","--","--",NA,"Then Year $M","JSF","2013-12","Engine"
"Support","--","295.8","--","295.8",NA,"Then Year $M","JSF","2013-12","Engine"
"Subtotal","302.8","4019","--","4321.8",NA,"Then Year $M","JSF","2013-12","Engine"
"Total Changes","1301.3","3462.6","--","4763.9",NA,"Then Year $M","JSF","2013-12","Engine"
"CE - Cost Variance","12125","56495.5","--","68620.5",NA,"Then Year $M","JSF","2013-12","Engine"
"CE - Cost & Funding ","12125","56495.5","--","68620.5",NA,"Then Year $M","JSF","2013-12","Engine"
