"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","History"
"SAR Baseline (Dev Est)","32300","143300","1500","177100","Base Year 2002 $M","JSF","2003-12",NA
"Economic","0","0","0","0","Base Year 2002 $M","JSF","2003-12","Previous Changes"
"Quantity","0","-16249.1","0","-16249.1","Base Year 2002 $M","JSF","2003-12","Previous Changes"
"Schedule","0","0","0","0","Base Year 2002 $M","JSF","2003-12","Previous Changes"
"Engineering","2231","0","227.3","2458.3","Base Year 2002 $M","JSF","2003-12","Previous Changes"
"Estimating","837.1","1492.7","0","2329.8","Base Year 2002 $M","JSF","2003-12","Previous Changes"
"Other","0","0","0","0","Base Year 2002 $M","JSF","2003-12","Previous Changes"
"Support","0","-2595.1","0","-2595.1","Base Year 2002 $M","JSF","2003-12","Previous Changes"
"Subtotal","3068.1","-17351.5","227.3","-14056.1","Base Year 2002 $M","JSF","2003-12","Previous Changes"
"Economic","--","--","--","--","Base Year 2002 $M","JSF","2003-12","Current Changes"
"Quantity","--","--","--","--","Base Year 2002 $M","JSF","2003-12","Current Changes"
"Schedule","6664.2","1359.5","--","8023.7","Base Year 2002 $M","JSF","2003-12","Current Changes"
"Engineering","--","1911.8","--","1911.8","Base Year 2002 $M","JSF","2003-12","Current Changes"
"Estimating","0.5","14853.4","-30.8","14823.1","Base Year 2002 $M","JSF","2003-12","Current Changes"
"Other","--","--","--","--","Base Year 2002 $M","JSF","2003-12","Current Changes"
"Support","--","5330.4","--","5330.4","Base Year 2002 $M","JSF","2003-12","Current Changes"
"Subtotal","6664.7","23455.1","-30.8","30089","Base Year 2002 $M","JSF","2003-12","Current Changes"
"Adjustments","0","0","-1500","-1500","Base Year 2002 $M","JSF","2003-12","Current Changes"
"Total Changes","9732.8","6103.6","-1303.5","14532.9","Base Year 2002 $M","JSF","2003-12","Current Changes"
"CE - Cost Variance","42032.8","149403.6","196.5","191632.9","Base Year 2002 $M","JSF","2003-12","Current Changes"
"CE - Cost & Funding","42032.8","149403.6","196.5","191632.9","Base Year 2002 $M","JSF","2003-12","Current Changes"
