"UCRhistory","Date","PAUC.ConstantMil","APUC.ConstantMil","PAUC.thenyear","APUC.thenyear","Platform","Source","Section","DeflatorYear"
"Original APB","2012-03-01","21.989","17.328","25.99","21.708","JSF","2015-12","Engine","2012 $M"
"APB as of JAN 2006","N/A","N/A","N/A","N/A","N/A","JSF","2015-12","Engine","2012 $M"
"Revised Original APB","N/A","N/A","N/A","N/A","N/A","JSF","2015-12","Engine","2012 $M"
"Prior APB","2012-03-01","21.989","17.328","25.99","21.708","JSF","2015-12","Engine","2012 $M"
"Current APB","2014-06-01","22.496","17.328","26.396","21.708","JSF","2015-12","Engine","2012 $M"
"Prior Annual SAR","2014-12-01","22.626","17.378","27.274","22.526","JSF","2015-12","Engine","2012 $M"
"Current Estimate ","2015-12-01","20.96","15.709","24.685","19.93","JSF","2015-12","Engine","2012 $M"
