"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","History"
"Planning Estimate","19000","--","--","19000","Base Year 1994 $M","JSF","1996-XX",NA
"Previous Changes","--","--","--","--","Base Year 1994 $M","JSF","1996-XX",NA
"Economic","--","--","--","--","Base Year 1994 $M","JSF","1996-XX",NA
"Quantity","--","--","--","--","Base Year 1994 $M","JSF","1996-XX",NA
"Schedule","--","--","--","--","Base Year 1994 $M","JSF","1996-XX",NA
"Engineering","--","--","--","--","Base Year 1994 $M","JSF","1996-XX",NA
"Estimating","--","--","--","--","Base Year 1994 $M","JSF","1996-XX",NA
"Other","--","--","--","--","Base Year 1994 $M","JSF","1996-XX",NA
"Support","--","--","--","--","Base Year 1994 $M","JSF","1996-XX",NA
"Subtotal","--","--","--","--","Base Year 1994 $M","JSF","1996-XX",NA
"Economic","--","--","--","--","Base Year 1994 $M","JSF","1996-XX","Current Changes"
"Quantity","--","--","--","--","Base Year 1994 $M","JSF","1996-XX","Current Changes"
"Schedule","--","--","--","--","Base Year 1994 $M","JSF","1996-XX","Current Changes"
"Engineering","--","--","--","--","Base Year 1994 $M","JSF","1996-XX","Current Changes"
"Estimating","-139.6","--",NA,"-139.6","Base Year 1994 $M","JSF","1996-XX","Current Changes"
"Other","--","--",NA,"--","Base Year 1994 $M","JSF","1996-XX","Current Changes"
"Support","--","--","--","--","Base Year 1994 $M","JSF","1996-XX","Current Changes"
"Subtotal","-139.6","--","--","-139.6","Base Year 1994 $M","JSF","1996-XX","Current Changes"
"Total Changes","-139.6","--","--","-139.6","Base Year 1994 $M","JSF","1996-XX","Current Changes"
"Current Estimates","18860.4","--","--","18860.4","Base Year 1994 $M","JSF","1996-XX","Current Changes"
