"UnitCostReport","UCRoriginalBaseline2012MarAPB.2012mil","CurrentEstimateDec2015.2012mil","pUCRchange","Subsection","Platform","Source","Section"
"Program Acquisition Unit Cost (PAUC)",NA,NA,NA,"Program Acquisition Unit Cost (PAUC)","JSF","2015-12","Engine"
"Cost","53916.4","51499.5",NA,NA,"JSF","2015-12","Engine"
"Quantity","2458","2457",NA,NA,"JSF","2015-12","Engine"
"Unit Cost","21.935","20.96","-4.44",NA,"JSF","2015-12","Engine"
"Average Procurement Unit Cost (APUC)",NA,NA,NA,"Average Procurement Unit Cost (APUC)","JSF","2015-12","Engine"
"Cost","42332.9","38376.9",NA,NA,"JSF","2015-12","Engine"
"Quantity","2443","2443",NA,NA,"JSF","2015-12","Engine"
"Unit Cost","17.328","15.709","-9.34",NA,"JSF","2015-12","Engine"
