"CurrentChangeExplanations","BaseYearMil","ThenYearMil","Platform","Source","Account"
"Revised escalation rates from 1995 to 1997 (Economic)","N/A","-1230.4","JSF","1996-XX","RDT&E"
"Adjustment to reflect uniform application of escalation in prior estimate (Estimating)","-139.6","-403.7","JSF","1996-XX","RDT&E"
"RDT&E Subtotal","-139.6","-1634.1","JSF","1996-XX","RDT&E"
