"UCRhistory","Date","PAUC.ConstantMil","APUC.ConstantMil","PAUC.thenyear","APUC.thenyear","Platform","Source","Section","DeflatorYear"
"Original APB","2001-10-01","74.567","60.632","81.298","68.934","JSF","2015-12","Aircraft","2012 $M"
"APB as of JAN 2006","2004-03-01","94.837","73.845","100.407","81.826","JSF","2015-12","Aircraft","2012 $M"
"Revised Original APB","2012-03-01","112.529","91.827","135.065","115.697","JSF","2015-12","Aircraft","2012 $M"
"Prior APB","2012-03-01","112.529","91.827","135.065","115.697","JSF","2015-12","Aircraft","2012 $M"
"Current APB","2014-06-01","111.908","91.827","134.638","115.697","JSF","2015-12","Aircraft","2012 $M"
"Prior Annual SAR","2014-12-01","107.755","87.889","131.918","113.208","JSF","2015-12","Aircraft","2012 $M"
"Current Estimate ","2015-12-01","106.537","86.488","129.585","110.695","JSF","2015-12","Aircraft","2012 $M"
