"Description","RDTnE","Proc","MILCON","Total","Subsection","Unit","Platform","Source"
"SAR Baseline (Dev Est)","34400","196600","2000","233000",NA,"Then Year $M","JSF","2006-12"
"Previous Changes",NA,NA,NA,NA,"Previous Changes","Then Year $M","JSF","2006-12"
"Economic","1021.7","6578.6","7.5","7607.8",NA,"Then Year $M","JSF","2006-12"
"Quantity","0","-25434.9","0","-25434.9",NA,"Then Year $M","JSF","2006-12"
"Schedule","7866.9","10539.4","0","18406.3",NA,"Then Year $M","JSF","2006-12"
"Engineering","2427.8","8087.6","252.8","10768.2",NA,"Then Year $M","JSF","2006-12"
"Estimating","-1213.8","22884.6","-2039.5","19631.3",NA,"Then Year $M","JSF","2006-12"
"Other","0","0","0","0",NA,"Then Year $M","JSF","2006-12"
"Support","0","12480.2","0","12480.2",NA,"Then Year $M","JSF","2006-12"
"Subtotal","10102.6","35135.5","-1779.2","43458.9",NA,"Then Year $M","JSF","2006-12"
"Current Changes",NA,NA,NA,NA,"Current Changes","Then Year $M","JSF","2006-12"
"Economic","236.3","-581.6","3.2","-342.1",NA,"Then Year $M","JSF","2006-12"
"Quantity","--","--","--","--",NA,"Then Year $M","JSF","2006-12"
"Schedule","--","11207.8","--","11207.8",NA,"Then Year $M","JSF","2006-12"
"Engineering","694.7","1326.4","--","2021.1",NA,"Then Year $M","JSF","2006-12"
"Estimating","-1239.5","4985.6","309.1","4055.2",NA,"Then Year $M","JSF","2006-12"
"Other","--","--","--","--",NA,"Then Year $M","JSF","2006-12"
"Support","--","6423.2","--","6423.2",NA,"Then Year $M","JSF","2006-12"
"Subtotal","-308.5","23361.4","312.3","23365.2",NA,"Then Year $M","JSF","2006-12"
"Total Changes","9794.1","58496.9","-1466.9","66824.1",NA,"Then Year $M","JSF","2006-12"
"CE - Cost Variance","44194.4","255096.9","533.1","299824.1",NA,"Then Year $M","JSF","2006-12"
"CE - Cost & Funding ","44194.1","255096.9","533.1","299824.1",NA,"Then Year $M","JSF","2006-12"
