"UnitCostReport","UCRcurrentBaseline2014JunAPB.2012mil","CurrentEstimateDec2015.2012mil","pUCRchange","Subsection","Platform","Source","Section"
"Program Acquisition Unit Cost (PAUC)",NA,NA,NA,"Program Acquisition Unit Cost (PAUC)","JSF","2015-12","Aircraft"
"Cost","274958.4","261760.9",NA,NA,"JSF","2015-12","Aircraft"
"Quantity","2457","2457",NA,NA,"JSF","2015-12","Aircraft"
"Unit Cost","111.908","106.537","-4.8",NA,"JSF","2015-12","Aircraft"
"Average Procurement Unit Cost (APUC)",NA,NA,NA,"Average Procurement Unit Cost (APUC)","JSF","2015-12","Aircraft"
"Cost","224332.9","211290.9",NA,NA,"JSF","2015-12","Aircraft"
"Quantity","2443","2443",NA,NA,"JSF","2015-12","Aircraft"
"Unit Cost","91.827","86.488","-5.81",NA,"JSF","2015-12","Aircraft"
