"UnitCostReport","UCRrevisedOriginalBaseline2012MarAPB.2012mil","CurrentEstimateDec2015.2012mil","pUCRchange","Subsection","Platform","Source","Section"
"Program Acquisition Unit Cost (PAUC)",NA,NA,NA,"Program Acquisition Unit Cost (PAUC)","JSF","2015-12","Aircraft"
"Cost","276482.2","261760.9",NA,NA,"JSF","2015-12","Aircraft"
"Quantity","2458","2457",NA,NA,"JSF","2015-12","Aircraft"
"Unit Cost","112.483","106.537","-5.29",NA,"JSF","2015-12","Aircraft"
"Average Procurement Unit Cost (APUC)",NA,NA,NA,"Average Procurement Unit Cost (APUC)","JSF","2015-12","Aircraft"
"Cost","224333.7","211290.9",NA,NA,"JSF","2015-12","Aircraft"
"Quantity","2443","2443",NA,NA,"JSF","2015-12","Aircraft"
"Unit Cost","91.827","86.488","-5.81",NA,"JSF","2015-12","Aircraft"
