"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","History"
"SAR Baseline (Dev Est)","34400","196600","2000","233000","Then Year $M","JSF","2003-12",NA
"Economic","-334.3","-7618.3","0","-7952.6","Then Year $M","JSF","2003-12","Previous Changes"
"Quantity","0","-25434.9","0","-25434.9","Then Year $M","JSF","2003-12","Previous Changes"
"Schedule","39.2","2623.7","0","2662.9","Then Year $M","JSF","2003-12","Previous Changes"
"Engineering","2427.8","0","252.8","2680.6","Then Year $M","JSF","2003-12","Previous Changes"
"Estimating","754.8","-300.9","0","453.9","Then Year $M","JSF","2003-12","Previous Changes"
"Other","0","0","0","0","Then Year $M","JSF","2003-12","Previous Changes"
"Support","0","-3673.5","0","-3673.5","Then Year $M","JSF","2003-12","Previous Changes"
"Subtotal","2887.5","-34403.9","252.8","-31263.6","Then Year $M","JSF","2003-12","Previous Changes"
"Economic","-4.6","2456.3","2.3","2454","Then Year $M","JSF","2003-12","Current Changes"
"Quantity","--","--","--","--","Then Year $M","JSF","2003-12","Current Changes"
"Schedule","7495.4","5540.4","--","13035.8","Then Year $M","JSF","2003-12","Current Changes"
"Engineering","--","2553.1","--","2553.1","Then Year $M","JSF","2003-12","Current Changes"
"Estimating","0","19278.2","-34.3","19243.9","Then Year $M","JSF","2003-12","Current Changes"
"Other","--","--","--","--","Then Year $M","JSF","2003-12","Current Changes"
"Support","--","7811.1","--","7811.1","Then Year $M","JSF","2003-12","Current Changes"
"Subtotal","7490.8","37639.1","-32","45097.9","Then Year $M","JSF","2003-12","Current Changes"
"Adjustments","0","0","-2000","-2000","Then Year $M","JSF","2003-12","Current Changes"
"Total Changes","10378.3","3235.2","-1779.2","11834.3","Then Year $M","JSF","2003-12","Current Changes"
"CE - Cost Variance","44778.3","199835.2","220.8","244834.3","Then Year $M","JSF","2003-12","Current Changes"
"CE - Cost & Funding","44778.3","199835.2","220.8","244834.3","Then Year $M","JSF","2003-12","Current Changes"
