"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","History"
"SAR Baseline (Dev Est)","32300","143300","1500","177100","Base Year 2002 $M","JSF","2009-12",NA
"Economic","--","--","--","--","Base Year 2002 $M","JSF","2009-12","Previous Changes"
"Quantity","--","-16249.1","--","-16249.1","Base Year 2002 $M","JSF","2009-12","Previous Changes"
"Schedule","6779.4","2017.7","--","8797.1","Base Year 2002 $M","JSF","2009-12","Previous Changes"
"Engineering","2814.6","6644.8","227.3","9686.7","Base Year 2002 $M","JSF","2009-12","Previous Changes"
"Estimating","-1704.6","33745.5","-1303.4","30737.5","Base Year 2002 $M","JSF","2009-12","Previous Changes"
"Other","--","--","--","--","Base Year 2002 $M","JSF","2009-12","Previous Changes"
"Support","--","-57.7","--","-57.7","Base Year 2002 $M","JSF","2009-12","Previous Changes"
"Subtotal","7889.4","26101.2","-1076.1","32914.5","Base Year 2002 $M","JSF","2009-12","Previous Changes"
"Economic","--","--","--","--","Base Year 2002 $M","JSF","2009-12","Current Changes"
"Quantity","130.6","--","--","130.6","Base Year 2002 $M","JSF","2009-12","Current Changes"
"Schedule","--","--","--","--","Base Year 2002 $M","JSF","2009-12","Current Changes"
"Engineering","--","--","--","--","Base Year 2002 $M","JSF","2009-12","Current Changes"
"Estimating","4816","16793.3","33.5","21642.8","Base Year 2002 $M","JSF","2009-12","Current Changes"
"Other","--","--","--","--","Base Year 2002 $M","JSF","2009-12","Current Changes"
"Support","--","6810.7","--","6810.7","Base Year 2002 $M","JSF","2009-12","Current Changes"
"Subtotal","4946.6","23604","33.5","28584.1","Base Year 2002 $M","JSF","2009-12","Current Changes"
"Total Changes","12836","49705.2","-1042.6","61498.6","Base Year 2002 $M","JSF","2009-12","Current Changes"
"CE - Cost Variance","45136","193005.2","457.4","238598.6","Base Year 2002 $M","JSF","2009-12","Current Changes"
"CE - Cost & Funding","45136","193005.2","457.4","238598.6","Base Year 2002 $M","JSF","2009-12","Current Changes"
