"Description","RDTnE","Proc","MILCON","Total","Unit","Platform","Source","History"
"SAR Baseline (Dev Est)","34400","196600","2000","233000","Then Year $M","JSF","2010-12",NA
"Economic","+936.2","-7553.3","-4.9","-6595.0","Then Year $M","JSF","2010-12","Previous Changes"
"Quantity","+157.0","-25434.9","--","-25277.9","Then Year $M","JSF","2010-12","Previous Changes"
"Schedule","+7866.9","+23895.5","--","+31762.4","Then Year $M","JSF","2010-12","Previous Changes"
"Engineering","+3122.5","+9414.0","+252.8","+12789.3","Then Year $M","JSF","2010-12","Previous Changes"
"Estimating","+3658.5","+69592.0","-1696.7","+71553.8","Then Year $M","JSF","2010-12","Previous Changes"
"Other","--","--","--","--","Then Year $M","JSF","2010-12","Previous Changes"
"Support","--","+11020.3","--","+11020.3","Then Year $M","JSF","2010-12","Previous Changes"
"Subtotal","+15768.1","+80933.6","-1448.8","+95252.9","Then Year $M","JSF","2010-12","Previous Changes"
"Economic","+63","-1449.8","--","-1386.8","Then Year $M","JSF","2010-12","Current Changes"
"Quantity","--","--","--","--","Then Year $M","JSF","2010-12","Current Changes"
"Schedule","--","+31511.0","--","+3151.0","Then Year $M","JSF","2010-12","Current Changes"
"Engineering","--","--","--","--","Then Year $M","JSF","2010-12","Current Changes"
"Estimating","+4165.6","+35415.4","--","+39581.0","Then Year $M","JSF","2010-12","Current Changes"
"Other","--","--","--","--","Then Year $M","JSF","2010-12","Current Changes"
"Support","--","+9794.7","--","+9794.7","Then Year $M","JSF","2010-12","Current Changes"
"Subtotal","+4228.6","+46911.3","--","+51139.9","Then Year $M","JSF","2010-12","Current Changes"
"Total Changes","+19996.7","+127844.9","-1448.8","+146392.8","Then Year $M","JSF","2010-12","Current Changes"
"CE - Cost Variance","54396.7","324444.9","551.2","379392.8","Then Year $M","JSF","2010-12","Current Changes"
"CE - Cost & Funding ","54396.7","324444.9","551.2","379392.8","Then Year $M","JSF","2010-12","Current Changes"
