"Description","RDTnE","Proc","MILCON","Total","Subsection","Unit","Platform","Source"
"SAR Baseline (Dev Est)","32300","143300","1500","177100",NA,"Base Year 2002 $M","JSF","2010-12"
"Previous Changes",NA,NA,NA,NA,"Previous Changes","Base Year 2002 $M","JSF","2010-12"
"Economic","--","--","--","--",NA,"Base Year 2002 $M","JSF","2010-12"
"Quantity","+130.6","-16249.1","--","-16118.5",NA,"Base Year 2002 $M","JSF","2010-12"
"Schedule","+6779.4","+2017.7","--","+8797.1",NA,"Base Year 2002 $M","JSF","2010-12"
"Engineering","+2814.6","+6644.8","+227.3","+9686.7",NA,"Base Year 2002 $M","JSF","2010-12"
"Estimating","+3111.4","+50538.8","-1269.9","+52380.3",NA,"Base Year 2002 $M","JSF","2010-12"
"Other","--","--","--","--",NA,"Base Year 2002 $M","JSF","2010-12"
"Support","--","+6753.0","--","+6753.0",NA,"Base Year 2002 $M","JSF","2010-12"
"Subtotal","+12836.0","+49705.2","-1042.6","+61498.6",NA,"Base Year 2002 $M","JSF","2010-12"
"Current Changes",NA,NA,NA,NA,"Current Changes","Base Year 2002 $M","JSF","2010-12"
"Economic","--","--","--","--",NA,"Base Year 2002 $M","JSF","2010-12"
"Quantity","--","--","--","--",NA,"Base Year 2002 $M","JSF","2010-12"
"Schedule","--","--","--","--",NA,"Base Year 2002 $M","JSF","2010-12"
"Engineering","--","--","--","--",NA,"Base Year 2002 $M","JSF","2010-12"
"Estimating","+3249.8","+22353.5","--","+25603.3",NA,"Base Year 2002 $M","JSF","2010-12"
"Other","--","--","--","--",NA,"Base Year 2002 $M","JSF","2010-12"
"Support","--","+6397.8","--","+6397.8",NA,"Base Year 2002 $M","JSF","2010-12"
"Subtotal","+3249.8","+28751.3","--","+32001.1",NA,"Base Year 2002 $M","JSF","2010-12"
"Total Changes","+16085.8","+78456.5","-1042.6","+93499.7",NA,"Base Year 2002 $M","JSF","2010-12"
"CE - Cost Variance","48385.8","221756.5","457.4","270599.7",NA,"Base Year 2002 $M","JSF","2010-12"
"CE - Cost & Funding ","48385.8","221756.5","457.4","270599.7",NA,"Base Year 2002 $M","JSF","2010-12"
