"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearBaseMil","EstimateYearOCOmil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","CostToCompleteMil","TotalCostMil","Platform","Source","Section"
"MD09: SM-3 Block IIA Co- Development","247.825","318.8","407.5","-","407.5","343.495","268.447","196.344","25.156","Continuing","Continuing","SM-3 BLOCK IIA","2012","RDT&E, Defense-Wide, Advances Component Development and Prorotypes (ACD&P)"
"Quantity of RDT&E Articles","0","0","0",NA,"0","0","0","0","0",NA,NA,"SM-3 BLOCK IIA","2012","RDT&E, Defense-Wide, Advances Component Development and Prorotypes (ACD&P)"
