"Description","AllPriorYears","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearBaseMil","EstimateYearOCOmil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","CostToCompleteMil","TotalCostMil","Platform","Source","Section","Account"
"Total Program Element","1,087.39","416.723","308.493","263.695","-","263.695","175.871","67.451","-","-","-","2,319.62","SM-3 BLOCK IIA","2015","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
"MD09: SM-3 Block IIA Co- Development","1070.908","398.971","289.788","240.751","-","240.751","139.284","50.456","-","-","-","2,190.16","SM-3 BLOCK IIA","2015","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
"MT09: SM-3 Block IIA Co-Development Test","-","-","2.303","7.68","-","7.68","26.254","12.768","-","-","-","49.005","SM-3 BLOCK IIA","2015","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
"MD40: Program-Wide Support","16.483","17.752","16.402","15.264","-","15.264","10.333","4.227","-","-","-","80.461","SM-3 BLOCK IIA","2015","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
