"Col1","Col2","Col3","Platform","Source"
"Contract Variance",NA,NA,"SM-3 BLOCK IIA","2015-12"
"Item","Cost Variance","Schedule Variance","SM-3 BLOCK IIA","2015-12"
"Cumulative Variances To Date (12/31/2015)","-185.7","-8","SM-3 BLOCK IIA","2015-12"
"Previous Cumulative Variances","-114","-8","SM-3 BLOCK IIA","2015-12"
"Net Change","-71.7","0","SM-3 BLOCK IIA","2015-12"
