"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Source"
"SM-3 Blk IIA Preliminary Design Review (PDR)","2","2011","2","2011","SM-3 BLOCK IIA","2011"
"BMD 4.0.1 Eng REL Preliminary Design Review (PDR)","2","2012","2","2012","SM-3 BLOCK IIA","2011"
"SM-3 Blk IIA Critical Design Review (CDR)","2","2012","2","2012","SM-3 BLOCK IIA","2011"
"BMD 4.0.1 Eng REL Critical Design Review (CDR)","2","2013","2","2013","SM-3 BLOCK IIA","2011"
"BMD 4.0.1 Eng REL: Engineering Assessment (EA) #1","4","2014","4","2014","SM-3 BLOCK IIA","2011"
"BMD 4.0.1 Eng REL: Engineering Assessment (EA) #2","1","2015","1","2015","SM-3 BLOCK IIA","2011"
"Restrained Level Firing","1","2013","1","2013","SM-3 BLOCK IIA","2011"
"Propulsion Test Vehicle -1 (PTV-I )","4","2013","4","2013","SM-3 BLOCK IIA","2011"
"Control Test vehicle - 1 (SCD CTV-I)","2","2014","2","2014","SM-3 BLOCK IIA","2011"
"Control Test Vehicle -2 (SCD CTV-2)","3","2014","3","2014","SM-3 BLOCK IIA","2011"
"SCD Flight Test Mission 1 (SFTM-I)","1","2015","1","2015","SM-3 BLOCK IIA","2011"
"SCD Flight Test Mission 2 (SFTM-2)","2","2015","2","2015","SM-3 BLOCK IIA","2011"
