"Events","StartQuarter","StartYear","EndQuarter","EndYear","Platform","Source"
"SM-3 Blk IIA DACS Risk Reduction Implementation Decision","1","2012","1","2012","SM-3 BLOCK IIA","2012"
"SM-3 Blk IIA DACS Preliminary Design Review (PDR)","1","2012","1","2012","SM-3 BLOCK IIA","2012"
"SM-3 Blk IIA KW Preliminary Design Review (PDR)","2","2012","2","2012","SM-3 BLOCK IIA","2012"
"SM-3 Blk IIA System Preliminary Design Review (PDR)","2","2012","2","2012","SM-3 BLOCK IIA","2012"
"SM-3 Blk IIA ps Critical Design Review (CDR)","2","2013","2","2013","SM-3 BLOCK IIA","2012"
"SM-3 Blk IIA SYS/KW Critical Design Review (CDR)","4","2013","4","2013","SM-3 BLOCK IIA","2012"
"Restrained Level Firing","2","2013","2","2013","SM-3 BLOCK IIA","2012"
