"Description","Year1","Year2","Year3Base","Year3OCO","Year3","Year4","Year5","Year6","Year7","CostToCompleteMil","TotalCostMil","Unit","FirstYearInSequence","Platform","Source","Section","Account"
"Total Program Element","299.767","473.843","420.63","-","420.63","273.926","200.699","185.007","46.103","Continuing","Continuing","They Year M$","2011","SM-3 BLOCK IIA","2013","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
"MD09: SM-3 Block IIA Co- Development","299.767","456.889","399.284","-","399.284","256.696","183.161","145.335","33.315","Continuing","Continuing","They Year M$","2011","SM-3 BLOCK IIA","2013","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
"MT09: SM-3 Block IIA Co-Development Test","-","-","-","-","-","3.428","7.759","30.565","10.454","Continuing","Continuing","They Year M$","2011","SM-3 BLOCK IIA","2013","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
"MD40: Program-Wide Support","-","16.954","21.346","-","21.346","13.802","9.779","9.107","2.334","Continuing","Continuing","They Year M$","2011","SM-3 BLOCK IIA","2013","PE 0604881C Aegis SM-3 Block IIA Co-Development","RDT&E"
