"Description","Year1","Year4","Year5","FirstYearInSequence","Platform"
"2010",NA,NA,NA,"2009","SM-3 BLOCK IIA"
"SM-3 Blk llA System Design Review (SDR)","Q1",NA,NA,"2009","SM-3 BLOCK IIA"
"SM-3 Blk IIA Preliminary Design Review (PDR)",NA,"Q1",NA,"2009","SM-3 BLOCK IIA"
"SM-3 Blk IIA Critical Design Review (CDR)",NA,NA,"Q1","2009","SM-3 BLOCK IIA"
