"Description","ActualYearMinus2mil","EstimateYearMinus1mil","EstimateYearBaseMil","EstimateYearOCOmil","EstimateYearTotalMil","EstimateYearPlusOneMil","EstimateYearPlusTwoMil","EstimateYearPlusThreeMil","EstimateYearPlusFourMil","CostToCompleteMil","TotalCostMil","Platform","Source","BudgetAccount"
"MD09: SM-3 Block IIA Co- Development","0","255.987","318.8","0","318.8","405.5","416.3","337.3","227.5","Continuing","Continuing","SM-3 BLOCK IIA","2011","RDT&E, Defense-Wide, Advances Component Development and Prorotypes (ACD&P)"
"Quantity of RDT&E Articles","0","0","0","0","0","0","0","0","0",NA,NA,"SM-3 BLOCK IIA","2011","RDT&E, Defense-Wide, Advances Component Development and Prorotypes (ACD&P)"
