"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Type","Header","Platform","Source","Section"
"Exhibit R-2, RDT&E Budget Item Jusitification: PB 2014 Missile Defense Agency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Header","FYDPcostOCO","SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development"
"Appropriation/Budget Activity",NA,NA,NA,NA,"R-1 Item Nomenclature",NA,NA,NA,NA,NA,NA,NA,"Header",NA,"SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development"
"COST ($ in Millions)","All Prior Years","FY2012","FY 2013","FY 2014 Base","FY 2014 OCO","FY2014","FY2015","FY 2016","FY 2017","FY 2018","Cost To Complete","Total Cost","Header","FYDPcostPriorOCO","SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development"
"Total Program Element","737.968","457.529","420.63","308.522","-","308.522","230.466","128.743","41.014","0","0","2,324.87",NA,NA,"SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development"
"MD09: SM-3 Block IIA Co- Development","737.968","441.046","399.284","289.817","-","289.817","211.582","95.892","25.945","0","0","2,201.53",NA,NA,"SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development"
"MT09: SM-3 Block IIA Co-Development Test","-","0","0","2.303","-","2.303","7.68","26.254","12.768","0","0","49.005",NA,NA,"SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development"
"MD40: Program-Wide Support","-","16.483","21.346","16.402","-","16.402","11.204","6.597","2.301","0","0","74.333",NA,NA,"SM-3 BLOCK IIA","2014","PE 0604881C Aegis SM-3 Block IIA Co-Development"
