"Col1","Col2","Col3","Col4","Col5","Platform"
"2012","Start",NA,"End",NA,"SM-3 BLOCK IIA"
NA,"Quarter","Year","Quarter","Year","SM-3 BLOCK IIA"
"SM-3 Blk IIA DACS Risk Reduction Implementation Decision","1","2012","1","2012","SM-3 BLOCK IIA"
"SM-3 Blk IIA DACS Preliminary Design Review (PDR)","1","2012","1","2012","SM-3 BLOCK IIA"
"SM-3 Blk IIA KW Preliminary Design Review (PDR)","2","2012","2","2012","SM-3 BLOCK IIA"
"SM-3 Blk IIA System Preliminary Design Review (PDR)","2","2012","2","2012","SM-3 BLOCK IIA"
"SM-3 Blk IIA ps Critical Design Review (CDR)","2","2013","2","2013","SM-3 BLOCK IIA"
"SM-3 Blk IIA SYS/KW Critical Design Review (CDR)","4","2013","4","2013","SM-3 BLOCK IIA"
"Restrained Level Firing","2","2013","2","2013","SM-3 BLOCK IIA"
