"CurrentChangeExplanations","BaseYearMil","ThenYearMil","Unit","Platform","Source","Account"
"Additional Aegis SM-3 Block IIA test rounds (Estimating)  ","+117.1","+153.8","$M","SM-3 BLOCK IIA","2011-12","RDT&E"
"Delayed Aegis SM-3 Block IIA Procurement by one year (Schedule)","-91.5","-124.7","$M","SM-3 BLOCK IIA","2011-12","Procurement"
