"Description","Year1","Year4","Year5","Platform","Source"
"SM-3 Blk llA System Design Review (SDR)","Q1",NA,NA,"SM-3 BLOCK IIA","2010"
"SM-3 Blk IIA Preliminary Design Review (PDR)",NA,"Q1",NA,"SM-3 BLOCK IIA","2010"
"SM-3 Blk IIA Critical Design Review (CDR)",NA,NA,"Q1","SM-3 BLOCK IIA","2010"
