"Description","Year1","Year2","Year3","Year4","FirstYearInSequence","Platform"
"2015",NA,NA,NA,NA,"2014","SM-3 BLOCK IIA"
"MD40 Program-Wide Support  (Planned Activity)","Q1-4","Q1-4","Q1-4","Q1-4","2014","SM-3 BLOCK IIA"
